City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Lujan,AR,-34.5703,-59.105,62.31,93,86,3.0,overcast clouds
311,Hakui,JP,36.8833,136.7833,64.69,77,100,8.05,moderate rain
312,Half Moon Bay,US,37.4636,-122.4286,52.79,83,0,6.91,clear sky
313,Letpadan,MM,17.7833,95.75,100.89,22,6,3.96,clear sky
314,San Pedro,PH,14.35,121.0167,92.35,56,20,13.69,few clouds
315,Kalanchak,UA,46.2562,33.2907,47.7,44,0,5.77,clear sky
316,Aygut,AM,40.6833,45.1729,32.81,84,24,3.94,few clouds
317,Stanger,ZA,-29.3282,31.2895,71.53,76,100,6.08,overcast clouds
318,Horta,PT,38.5333,-28.6333,56.77,84,100,25.03,overcast clouds
319,Ishigaki,JP,24.3448,124.1572,75.94,95,26,12.48,light rain
320,Baruun-Urt,MN,46.6806,113.2792,32.38,15,100,20.87,overcast clouds
321,Agirish,RU,61.9247,63.0231,24.31,68,86,10.76,overcast clouds
322,Bedele,ET,8.456,36.353,75.88,35,7,5.46,clear sky
323,Noumea,NC,-22.2763,166.4572,78.78,70,95,13.27,overcast clouds
324,Diego De Almagro,CL,-26.3667,-70.05,58.53,54,0,2.55,clear sky
325,Delta Del Tigre,UY,-34.7633,-56.3853,63.19,95,100,1.99,overcast clouds
326,Caldwell,US,43.6629,-116.6874,56.17,58,0,0.0,clear sky
327,Edd,ER,13.9297,41.6925,79.14,68,98,14.45,overcast clouds
328,Seminole,US,28.7086,-81.2081,62.96,84,0,8.05,clear sky
329,Anloga,GH,5.7947,0.8973,82.56,84,100,10.92,overcast clouds
330,Coihaique,CL,-45.5752,-72.0662,46.35,93,0,6.91,clear sky
331,Taormina,IT,37.8536,15.2885,57.69,52,91,4.05,overcast clouds
332,Keuruu,FI,62.2667,24.7,28.8,80,100,17.07,light snow
333,Payo,ID,-3.7508,103.6372,93.99,45,61,6.02,broken clouds
334,Magdagachi,RU,53.45,125.8,34.88,68,100,6.51,overcast clouds
335,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,60.42,52,79,4.23,broken clouds
336,Sao Joao Dos Patos,BR,-6.495,-43.7022,70.14,93,94,1.9,overcast clouds
337,Flin Flon,CA,54.7682,-101.865,-8.52,90,13,7.76,few clouds
338,Necochea,AR,-38.5473,-58.7368,60.78,93,100,23.96,overcast clouds
339,Laguna,US,38.421,-121.4238,61.93,73,0,6.91,clear sky
340,Paraiso,CR,9.8383,-83.8656,59.95,100,96,3.29,overcast clouds
341,Paamiut,GL,61.994,-49.6678,14.05,68,26,7.45,scattered clouds
342,Jacareacanga,BR,-6.2222,-57.7528,72.0,97,83,1.23,broken clouds
343,Egvekinot,RU,66.3167,-179.1667,-4.49,95,56,6.51,broken clouds
344,Dawson Creek,CA,55.7666,-120.2362,26.24,80,100,5.75,overcast clouds
345,Itamarandiba,BR,-17.8572,-42.8589,62.71,98,40,2.26,scattered clouds
346,Oume,JP,35.7839,139.2431,64.0,60,75,27.63,broken clouds
347,Stornoway,GB,58.2093,-6.3865,44.92,92,75,2.3,broken clouds
